Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC
IMf20_,BillClintonEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",1,0.0,0,29
IMf20_,AlignmentEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",1,0.0,0,27
Alpha+_,BillClintonEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",1,0.0,0,0
Alpha+_,BillClintonEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",2,0.0,0,0
Alpha+_,BillClintonEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",3,0.0,0,0
Alpha+_,BillClintonEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",4,0.0,0,0
Alpha+_,AlignmentEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",1,0.0,0,0
Alpha+_,AlignmentEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",2,0.0,0,0
Alpha+_,AlignmentEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",3,0.0,0,0
Alpha+_,AlignmentEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",4,0.0,0,0
Heuristic_,BillClintonEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",1,0.0,0,0
Heuristic_,BillClintonEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",2,0.0,0,0
Heuristic_,BillClintonEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",3,0.0,0,0
Heuristic_,BillClintonEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",4,0.0,0,0
Flower_,BillClintonEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",1,0.0,0,19
Flower_,AlignmentEstimator,"('Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FOR_APPROVAL by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by BUDGET OWNER', 'Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment REJECTED by SUPERVISOR')",1,0.0,0,19
